period_type,period_value,field_name,total_records_n,missing_records_n,non_missing_records_n,missing_pct
crashFinancialYear,2023/2024,seriousInjuryCount,29538,0,29538,0
crashFinancialYear,2024/2025,speedLimit,29640,211,29429,0.7119
crashFinancialYear,2024/2025,crashLocation2,29640,210,29430,0.7085
crashFinancialYear,2024/2025,NumberOfLanes,29640,151,29489,0.5094
crashFinancialYear,2024/2025,region,29640,121,29519,0.4082
crashFinancialYear,2024/2025,areaUnitID,29640,0,29640,0
crashFinancialYear,2024/2025,directionRoleDescription,29640,0,29640,0
crashFinancialYear,2024/2025,fatalCount,29640,0,29640,0
crashFinancialYear,2024/2025,meshblockId,29640,0,29640,0
crashFinancialYear,2024/2025,minorInjuryCount,29640,0,29640,0
crashFinancialYear,2024/2025,seriousInjuryCount,29640,0,29640,0
crashFinancialYear,2024/2025,tlaId,29640,0,29640,0
crashFinancialYear,2024/2025,tlaName,29640,0,29640,0
crashFinancialYear,2025/2026,crashLocation2,17348,154,17194,0.8877
crashFinancialYear,2025/2026,speedLimit,17348,133,17215,0.7667
crashFinancialYear,2025/2026,NumberOfLanes,17348,97,17251,0.5591
crashFinancialYear,2025/2026,region,17348,79,17269,0.4554
crashFinancialYear,2025/2026,areaUnitID,17348,0,17348,0
crashFinancialYear,2025/2026,directionRoleDescription,17348,0,17348,0
crashFinancialYear,2025/2026,fatalCount,17348,0,17348,0
crashFinancialYear,2025/2026,meshblockId,17348,0,17348,0
crashFinancialYear,2025/2026,minorInjuryCount,17348,0,17348,0
crashFinancialYear,2025/2026,seriousInjuryCount,17348,0,17348,0
crashFinancialYear,2025/2026,tlaId,17348,0,17348,0
crashFinancialYear,2025/2026,tlaName,17348,0,17348,0
