OBJECTID,issue_category,check_name,field_name,issue_level,issue_detail
29318,completeness,core_field_missing,region,warning,region is missing
29367,completeness,core_field_missing,region,warning,region is missing
29671,completeness,core_field_missing,region,warning,region is missing
30060,completeness,core_field_missing,region,warning,region is missing
30260,completeness,core_field_missing,region,warning,region is missing
30574,completeness,core_field_missing,region,warning,region is missing
31035,completeness,core_field_missing,region,warning,region is missing
31441,completeness,core_field_missing,region,warning,region is missing
31882,completeness,core_field_missing,region,warning,region is missing
31996,completeness,core_field_missing,region,warning,region is missing
32405,completeness,core_field_missing,region,warning,region is missing
32409,completeness,core_field_missing,region,warning,region is missing
32446,completeness,core_field_missing,region,warning,region is missing
32905,completeness,core_field_missing,region,warning,region is missing
32990,completeness,core_field_missing,region,warning,region is missing
33403,completeness,core_field_missing,region,warning,region is missing
33487,completeness,core_field_missing,region,warning,region is missing
33673,completeness,core_field_missing,region,warning,region is missing
33750,completeness,core_field_missing,region,warning,region is missing
33824,completeness,core_field_missing,region,warning,region is missing
34001,completeness,core_field_missing,region,warning,region is missing
34393,completeness,core_field_missing,region,warning,region is missing
34753,completeness,core_field_missing,region,warning,region is missing
34834,completeness,core_field_missing,region,warning,region is missing
35161,completeness,core_field_missing,region,warning,region is missing
35354,completeness,core_field_missing,region,warning,region is missing
35414,completeness,core_field_missing,region,warning,region is missing
35613,completeness,core_field_missing,region,warning,region is missing
35774,completeness,core_field_missing,region,warning,region is missing
36583,completeness,core_field_missing,region,warning,region is missing
36669,completeness,core_field_missing,region,warning,region is missing
36938,completeness,core_field_missing,region,warning,region is missing
37129,completeness,core_field_missing,region,warning,region is missing
37381,completeness,core_field_missing,region,warning,region is missing
37393,completeness,core_field_missing,region,warning,region is missing
37735,completeness,core_field_missing,region,warning,region is missing
37886,completeness,core_field_missing,region,warning,region is missing
38191,completeness,core_field_missing,region,warning,region is missing
38897,completeness,core_field_missing,region,warning,region is missing
39243,completeness,core_field_missing,region,warning,region is missing
39416,completeness,core_field_missing,region,warning,region is missing
39509,completeness,core_field_missing,region,warning,region is missing
39564,completeness,core_field_missing,region,warning,region is missing
39973,completeness,core_field_missing,region,warning,region is missing
40184,completeness,core_field_missing,region,warning,region is missing
40268,completeness,core_field_missing,region,warning,region is missing
40273,completeness,core_field_missing,region,warning,region is missing
41021,completeness,core_field_missing,region,warning,region is missing
41654,completeness,core_field_missing,region,warning,region is missing
41805,completeness,core_field_missing,region,warning,region is missing
